Helia Galdamez Saldivar#13:23
Piero Perez Mera#11:35
Eric Escobar Moscoso#12:43
Romelio Lazo Hinojosa#12:40
Aylin Carrera Vegas#13:02
Regina Garate Juarez#13:34
Caren Videla Mandiola#13:42
Leonila Ahumada Davila#13:20
Alexander Gutierrez Gonzalez#12:25
Wenceslao Antilef Carrasco#13:37
Griselda Lopez Aspe#13:08
Edelmira Cofre Azocar#12:03
Pino Utreras Antunez#12:36
Gricelda Barra Pareja#12:32
Marion Jauregui Muena#12:01
Dayan Vega Santiago#12:30
Ada Guardia Salazar#12:09
Renata Jaque Noriega#11:54
Fabrizio Urrea Pontigo#12:24
Jocelin Villouta Seura#12:30
Juan Manosalva Segovia#12:15
Martha Santana Azocar#12:51
Robert Frias Clavijo#12:02
Catalina Macias Erazo#13:04
Graciela Betancur Juarez#12:12
Heraldo Balboa Blas#13:12
Lorena Amestica Cifuentes#13:16
Genaro Cordova Monsalvez#12:50
Ulises Villagran Chepillo#13:31
Nidia Rocha Vegas#12:30
Mayra Franco Tello#12:08
Valeska Bello Magna#12:15
Abner Minno Alcaino#12:19
Segundo Faundes Velasco#12:41
Brian Carrasco Poveda#12:21
Yasna Ortiz Palacio#11:54
Silva Toloza Ovalle#12:16
Nancy Urrea Ruminot#13:15
Erasmo Saez Muga#13:06
Celestino Nova Estrada#13:17
Katherin Palacio Adaos#13:41
Gabriel Bolvaran Villarroel#12:53
Bernardina Corral Peredo#13:16
Feliciano Coloma Solari#12:55
Gladys Marquez Jaramillo#13:03
Clotilde Horta Ortega#12:53
Bryan Polanco Proboste#12:21
Camila Wilson Ortiz#12:30
Hilda Adaos Nilo#12:20
Oriel Beas Pedreros#12:24
Marilyn Fuica Borquez#12:41
Galvarino Bordones Romo#12:37
Palmenia Mamani Janna#12:01
Darwin Apablaza Zuleta#13:13
Monica Avello Palacios#12:00
America Norambuena Basaure#12:46
Noelia Alvial Alvial#12:56
Violeta Avaria Bolbaran#11:42
Luzmenia Monares Manriquez#12:12
Florinda Barrales Provoste#12:13
Carmela Alonso Basoalto#12:34
Hellen Villanueva Thompson#13:35
Julieta Mella Albornoz#13:33
Magali Barra Cortes#12:19
Olaya Varas Olivos#12:41
Cristofer Ureta Honores#11:51
Daniel Brizuela Baquedano#13:12
Lastenia Urquieta Herrera#12:00
Johny Villegas Mesa#12:09
Alba Brante Blanco#12:48
Montserrat Tejos Bernales#12:38
Gricelda Reveco Luza#12:38
Emperatriz Galleguillos Neumann#13:19
Moises Moraga Quiero#12:36
Jairo Andrades Merinno#12:33
Feliciano Aparicio Maureira#13:16
Darling Droguett Corral#13:25
Fernanda Gallardo Copa#11:34
Katherina Bastidas Alvial#12:34
Darwin Monardes Galvez#12:32
Vilma Caballero Vigorena#13:06
Ester Palta Matta#12:43
Jacquelinne Paz Toledo#13:00
Henry Alvarez Martinez#11:33
Augusto Cruz Fritis#13:05
Gumercinda Smith Colque#12:31
Lucy Soto Balbontin#13:22
Eleuterio Mayorga Pinochet#13:22
Ida Bucarey Quijon#12:23
Arnoldo Codoceo Molina#12:25
Henry Muena Concha#11:59
Erika Benitez Corrales#11:57
Eleuterio Mesa Dominguez#12:51
Lisette Chavez Betanzo#12:52
Simon Amestica Valerio#12:26
Hellen Valencia Rosas#12:33
Franz Lozano Trejo#12:56
Enrique Catril Urbina#13:19
Clemencia Monroy Placencia#11:56
Alida Quilodran Aillapan#12:34
Georgina Hinojosa Ibacache#12:15
Sylvia Caballero Marquez#12:00
Agueda Fierro Mena#11:59
Servando Gallo Solis#13:08
Jorge Barriga Carrenno#12:01
Eva Villaseca Pinnones#12:09
Wilson Espinosa Munizaga#13:25
Luciana Urbina Oteiza#12:53
Olimpia Robledo Mesa#12:43
Margaret Michea Grandon#12:36
Vanessa Muena Ovalle#12:38
Marcelino Palacios Von#13:25
Marco Aballay Jelves#12:34
Deisy Mesina Contreras#12:56
Aaron Olate Alvial#12:13
Ena Caballero Macias#11:48
Renan Ordenes Villa#12:47
Jenniffer Quintana Astorga#13:18
Dany Erazo Adaros#13:30
Lucia Anza Concha#12:50
Nuvia Rivas Moroso#12:26
Froilan Videla Macias#13:16
Jacob Ascencio Almendras#11:44
Texia Amestica Olivos#12:02
Enrique Gamonal Acunna#12:22
Elena Espinoza Andaur#13:01
Gumercindo Blanco Oportus#12:09
Olga Lamas Tabilo#12:09
Danny Celis Adaros#13:15
Yessica Marileo Borquez#12:04
Emilio Escalona Collao#12:38
Luzmira Villar Pimentel#12:41
Nivia Andrade Iturriaga#13:34
Hermogenes Rubilar Mallea#13:07
Gary Muller Farfan#12:22
Yasmina Bascunnan Medrano#12:18
Herminia General Carvallo#12:16
Eileen Jaime Guzman#11:35
Fanny Ramos Grandon#13:16
Esther Pizarro Valeria#12:37
Bernardino Puebla Pozo#12:31
Patricia Madrid Santos#11:57
Fanny Gordillo Farinna#13:09
Nataly Luarte Basoalto#12:27
Myriam Prieto Arismendi#12:22
Silvia Cannas Eganna#12:35
Sandy Antillanca Roco#11:48
Consuelo Roca Villalon#11:48
Ivon Urrutia Victoriano#13:09
Cristofer Inostroza Pennaloza#13:50
Texia Nieto Parada#12:03
Geraldo Romo Yannez#12:53
Gaspar Gallo Salvatierra#11:36
Rudy Aros Arancibia#12:13
Max Oyarzo Chavez#12:02
Daisy Vilca Jarpa#12:00
Jacob Moran Bazaes#11:39
Celestino Roblero Echeverria#13:15
Ramon Lienlaf Condori#12:39
Filomena Schmidt Grez#12:17
Bernabe Vasquez Porras#13:33
Deisy Briones Maldonado#12:29
Nivia Caqueo Cuellar#12:36
Renzo Tarifenno Beas#11:44
Diego Velozo Macias#12:45
Nayaret Trujillo Segura#12:02
Filomena Castro Ureta#12:42
Efrain Copa Ordonnez#13:07
Cynthia Olavarria Espindola#12:52
Denisse Olivares Cubillos#11:38
Emma Cabezas Arismendi#12:53
Cristobal Victoriano Rocco#13:10
Matias Vargas Zapata#12:37
Servando Corral Pennailillo#12:04
Yerko Pineda Aspe#11:46
Milenka Orias Jamett#12:57
Katerine Oses Ibaceta#12:27
Florindo Rossel Alegre#12:16
Patricio Berna Landaeta#13:10
Auristela Adones Caimanque#13:07
Eugenio Miranda Ticona#12:07
Katty Cartes Valdenegro#13:17
Allan Menares Moran#13:15
Yocelin Blanco Porras#12:56
Edith Alarcon Moreno#12:52
Ignacia Alucema Mera#13:23
Selma Lizama Almuna#12:54
Christian Utreras Paiva#12:53
Arcadio Cisterna Ibannez#12:13
Samuel Barraza Llanten#13:42
Jeronimo Chang Bolbaran#13:24
Italo Zelaya Fierro#12:14
Genesis Malebran Ramirez#12:50
Isabel Jelves Jaque#13:21
Torre Subiabre Arce#12:49
Magaly Condori Ocampo#13:06
James Brizuela Ogalde#12:19
Yohanna Tamblay Madariaga#12:29
Alexis Bautista Palma#12:56
Francis Chirino Ogalde#12:17
Guacolda Moraga Gutierrez#12:55
Rosa Tabilo Elgueta#12:47
Katherina Casanueva Cannas#12:06
Lenka Ubeda Lara#13:35
Rosemarie Mansilla Bastias#13:19
Yonathan Bozo Buguenno#13:01
Placido Bocaz Zelaya#13:16
Paola Vallejo Mura#12:49
Yanina Martinez Almarza#12:22
Raquel Abrigo Puelles#13:09
Nathalia Muga Carroza#12:29
Felix Lanas Tamayo#12:59
Ginette Castro Jopia#12:39
Adriana Bautista Caimanque#12:32
Vania Labarca Ruminot#12:02
Emmanuel Galdames Robles#12:48
Cristhofer Madariaga Brevis#13:01
Herminio Rosas Frez#12:54
Aylin Rifo Lema#13:23
Jesenia Cubillos Astudillo#12:44
Teobaldo Vial Gamonal#12:41
Delicia Guinnez Alamos#13:19
Jazmin Avilez Campusano#13:38
Alda Illanes Arenas#12:01
Masiel Chandia Sandoval#12:57
Jennifer Donoso Moroso#13:08
Adolfo Melgarejo Iriarte#12:47
Jael Puentes Solari#13:18
Esmerita Borquez Ibannez#13:32
Yoselyn Cerezo Palacios#13:13
Delmira Garnica Barrientos#12:29
Franz Loaiza Astete#13:22
John Amestica Pezoa#12:27
Ivonne Rojo Gamonal#13:12
Agustin Calderon Meza#13:10
Rojas Dinamarca Campanna#12:33
Carlos Nilo Ledesma#12:40
Yury Maturana Valladares#13:41
Romualdo Calabrano Mercado#13:23
Isabel Sepulveda Arevalo#12:25
Orieta Zapata Olivera#13:42
Avelino Oyanadel Casanga#11:45
Juanita Sotomayor Zumaran#12:33
Marjorie Malhue Bahamonde#13:13
Ignacia Pavez Freire#13:28
Edmundo Duarte Vizcarra#11:47
Sebastian Duran Serey#12:16
Aaron Martin Riveros#12:57
Nieves Bozo Vega#13:38
Mariela Traslavinna Corvalan#13:37
Galvarino Callejas Valdes#13:38
Johnny Tordecilla Chaparro#12:27
Alfonso Pereira Fritis#12:56
Israel Espejo Calvo#13:04
Helia Martel Nieto#13:26
Edita Pinnones Marambio#12:20
Nuvia Cannas Contador#13:34
Hilda Sazo Contreras#13:03
Aurelio Bahamonde Pulgar#12:34
Reinaldo Collao Basoalto#12:19
Cintya Urrutia Alucema#13:01
Lorna Aceiton Varas#12:39
Danny Guaman Guardia#12:43
Georgina Dinamarca Valenzuela#12:47
Wildo Villanueva Canto#12:40
Mirian Mora Valencia#13:02
Brunilda Cuellar Mollo#13:31
Hermogenes Tapia Victoriano#12:25
Stefanie Higueras Ojeda#12:14
Sonnia Zambrano Camilo#12:13
Pilar Erices Pradenas#12:16
Hilda Villarroel Bastias#12:22
Veronica Loyola Costa#12:32
Elcira Gil Antillanca#12:19
Marcial Rivero Villagra#13:24
Denise Acevedo Puebla#12:55
Clementina Pulido Gil#13:17
Emperatriz Bordones Cruces#13:12
Elva Guinnez Bermudez#13:24
Ruth Paz Espejo#12:15
Fresia Jaure Cuevas#12:51
Teresita Balcazar Elgueda#12:51
Tatiana Avilez Duarte#13:11
Robert Codoceo Pereira#13:22
Tulio Sazo Araos#12:39
Gladys Ayavire Sarmiento#13:32
Marlen Aceiton Aedo#12:47
Lionel Vilches Vial#13:35
Peter Rossel Jaure#12:31
Ignacio Mesias Jauregui#13:25
Vania Cuevas Moran#12:59
Rio Medina Saavedra#12:21
Milenko Sagredo Rocha#12:42
Narciso Valle Ampuero#12:20
Isaura Williams Baltazar#12:42
Miguelina Gordillo Sotelo#12:15
Hernando Escudero Orostica#11:43
Brigida Morel Castanneda#12:32
Jessica Espinola Michea#12:59
Joyce Monsalve Mejias#12:06
Mirna Panes Villagra#12:56
Albina Lema Infante#12:48
Herminda Pontigo Paiva#12:13
Paulette De Talamilla#12:14
Aldo Lazo Robles#13:30
Charles Antilef Solorza#12:30
Yanet Prieto Canales#12:57
Andy Landaeta Mera#13:04
Leyla Davila Corrales#12:46
Henry Madrid Tirado#11:59
Dagoberto Soto Escalante#12:19
Ivan Ugalde Obreque#12:29
Hortensia Oyanedel Trigo#12:56
Dayana Venegas Aroca#13:02
Gisella Garin Tamayo#12:23
Scarlet Encina Sanchez#13:40
Nubia Saa Aracena#13:17
Marina Oliveros Amigo#12:50
Angelo Nahuelpan Andana#13:40
Orlando Vivar Pennaloza#13:28
Nataly Bolbaran Vilca#12:27
Hans Lizama Matus#13:39
Zaida Parraguez Fabrega#12:24
Daysi Moena Reveco#12:52
Jacqueline Franco Lisboa#12:14
Harold Tilleria Cannete#13:08
Yenifer Zambra Dote#13:49
Javier Beltran Luarte#12:26
Yohana Fuenzalida Isla#12:37
Danilo Barros Veliz#12:35
Nicol Martin Moran#12:44
German Sarmiento Jimenez#13:15
Loreto Rubina Valero#13:01
Gonzalo Garnica General#12:00
Yubitza Orozco Montanno#13:33
Florindo Araya Tamayo#13:06
Marcelo Copa Alquinta#13:06
Marcelino Santis Igor#12:02
Mirza Droguett Beiza#13:25
Leonila Maya Galindo#12:30
Mariana Nilo Cannas#13:21
Enriqueta Mery Navarro#12:55
Tito Adriazola Quilodran#12:39
Yanett Lorca Aballay#12:44
Gerald Naveas Mamani#12:50
Yaritza Macias Catalan#12:34
Onofre Moyano Azocar#12:36
Vivian Condori Angulo#12:38
Doraliza Arellano Rifo#12:33
Ercilia Cannete Castillo#12:22
Diana Prieto Pinto#12:38
Karla Coloma Higuera#11:58
Edita Aravena Luco#11:57
Dino Narvaez Altamirano#12:53
Alina Moroso Espinosa#12:14
Paulino Crisosto Cepeda#13:10
Laureano Costa Cabello#12:58
Felicita Ramos Solari#13:06
Ulda Urquieta Figueroa#12:32
David Urqueta Barahona#13:01
Griselda Munizaga Alzamora#12:58
Domitila La Frez#12:52
Raul Artigas Villaseca#12:08
Simon Igor Lemus#13:19
Mireya Salazar Alquinta#13:04
Josue Garnica Espina#12:27
Fidel Albarran Sobarzo#12:02
Florencia Borquez Chacon#11:55
Francis Lazo Tarifenno#12:43
Arnoldo Mayorga Carrera#12:21
Denise Plaza Magna#13:11
Osvaldo Carrasco Rosales#12:55
Lady Caro Montenegro#12:37
Nolberto Pezo Escarate#12:00
Vivian Aguilera Veliz#12:55
Brigida Rebolledo Teran#11:58
Arcadio Gana Ledezma#12:21
Yaritza Toledo Jarpa#11:46
Aurelio Choque Alburquenque#13:04
Fabrizio Talamilla Arostica#13:04
Allison Duarte Pennaloza#12:44
Mirtha Riquelme Nieto#13:42
Ligia Puentes Nova#12:40
Elizardo Moreno Poveda#12:44
Olga Tamayo Orellana#11:58
Marta Roco Espinoza#12:12
Pascuala Jara Olea#13:43
Nolvia Costa Guinnez#13:35
Samuel Aburto Fajardo#13:13
Sonnia Oliveros Atenas#12:51
Raul Ortiz Codoceo#12:04
Javier Caris Palominos#12:46
Karime Saa Parra#12:02
Luzmenia Jaure Novoa#13:29
Waleska Ortiz Vargas#12:22
Victoria Nilo Gacitua#12:40
Ingrid Escalante Ortega#13:17
Lady Rosas Constanzo#12:23
Luis Canelo Fritz#11:58
Joanna Bustamante Eganna#13:20
Milka Bueno Allendes#12:54
Gary Torreblanca Malhue#12:11
Leslie Casanga Basaure#13:10
Edita Hernandez Alfaro#12:53
Mariano Crisostomo Trivinnos#12:17
Antonio Canelo Sazo#12:40
Leonila Santiago Montt#12:56
Eliecer Puentes Enriquez#12:33
Natacha Avilez Dinamarca#12:51
Renan Tordecilla Garin#12:33
Oriel Esteban Urra#13:21
Gary Mori Orellana#12:21
Benito Vilugron Roblero#12:47
Harold Muller Barrales#13:16
Franz Provoste Sarmiento#12:52
Renzo Chavarria Ocaranza#13:21
Jose Ferrer Gavilan#13:11
Gertrudis Escalante Martinez#12:50
Gerald Marchant Mesa#12:41
Violeta Valencia Letelier#12:04
Emilia Martin Badillo#13:10
Elvia Guardia Ampuero#11:58
Edward Cerezo Moyano#12:16
Diego Almuna Thompson#12:09
Samuel Quilodran Carvacho#12:49
Cristopher Monsalves Ganga#12:40
Bernabe Anacona Buguenno#12:19
Vilma Oyanadel Villanueva#12:33
Clemencia Vasquez Rojo#13:01
Vanessa Lira Arriola#12:46
Urbano Velasco Flandez#13:52
Nery Maya Zamora#13:18
Ursula Castro Calvo#12:18
Ayleen Contardo Latorre#12:36
Rose Bernales Moncada#12:23
Clara Risco Parraguez#13:38
Marcos Avalos Merinno#12:42
Helia Lamas Corrales#12:15
Danilo La Martin#12:10
Lino Freire Noriega#13:03
Yoselin Acunna Vivanco#12:07
Jara Pineda Heredia#12:54
Alejandro Morel Abello#12:07
Leonor Smith Palavecino#12:27
Olaya Pavez Quiero#12:45
Muriel Leiton Pardo#12:25
Angelica Ferrer Bucarey#12:50
Richard Salfate Igor#12:19
Claudio Caimanque Puelles#13:28
Yerko Callejas Maluenda#12:32
Eloy Monsalves Chirino#12:15
Atilio Mura Cornejo#12:57
Olinda Aviles Aspe#12:01
Ema Garay Palacios#12:20
Douglas Duque Pardo#13:04
Allison Fuentealba Ibaceta#12:30
Benigno Ormazabal Ossandon#12:59
Yoana Guerra Castro#12:37
Nuvia Alquinta Rivero#12:12
Herminda Jerez Atenas#12:35
Auristela Palacio Arriagada#12:41
Clemente Chacon Pulgar#13:29
Abel Ibannez Almendra#12:50
Gioconda Ganga Ugalde#13:22
Katty Mura Riveros#11:55
Yenifer Cartes Manque#12:10
Exequiel Moroso Amaya#12:37
Joseph Balboa Maturana#12:55
Felix Oyanadel Espindola#12:35
Deidamia Melo Lastra#13:12
Bristela Maulen Orellana#12:01
Evelin Paredes Bascur#12:15
Javiera Irribarra Abarzua#13:01
Marco Ulloa Cardenas#11:53
Jazmin Moreira Apablaza#13:55
Gerardo Espindola Hernandez#12:33
Carmela Luarte Chacon#13:11
Giovana Umanna Ayala#12:45
Tabita Corona Solorza#13:05
Madelaine Aguirre Penna#12:45
Segundo Corral Vial#12:40
Dagoberto Machuca Cubillos#13:09
Cynthia Olivarez Guarda#12:52
San Beas Avila#12:28
Paulette Smith Monsalve#13:17
Marioly Canales Valero#12:09
Mireya Escanilla Blas#12:47
Basilio Ibacache Azocar#12:42
Maritza Parra Aldana#12:50
Cristobal Carrenno Valladares#12:14
Isidro Codoceo Arriaza#12:47
Danny Moncada Briones#12:20
Paulo Amigo Escobedo#13:09
Franchesca Franco Bricenno#12:04
Narciso Munnoz Barraza#12:17
Astrid Ordenes Zurita#13:01
Esperanza Aillapan Olguin#13:16
Vinka Montiel Taucare#13:29
Mafalda Espinoza Malebran#13:31
Fabrizio Nnanco Caqueo#12:39
Elsa Barriga Pallero#13:45
Esmerita Crisostomo Maturana#13:36
Pamela Cantillana Escobedo#12:14
Silva Enriquez Victoriano#12:51
Fabio Villacura Palavecino#12:44
Purisima Letelier Matus#12:14
Auristela Salfate Balcazar#12:12
Brunilda Oliveros Villablanca#13:37
Eliana Rozas Macaya#12:53
Andrea Cristi Cuello#13:35
Alda Villablanca Quintana#13:33
Isamar Neira Pinnones#12:17
Roxana Villar Ferreira#12:18
Waleska Fuentealba Berrocal#12:37
Denisse Camus Poveda#13:12
Evangelina Monsalves Berrocal#13:04
Arnoldo Ortega Valladares#13:24
Arsenio Pastenes Arqueros#13:03
Norman Cadiz Benavente#11:47
